avg_perplexity: 2291.8510642239726
['chapter i\n', 69.37028463375209]
[' personpronoun ought to be so personpronoun must be so while personpronoun retains articlehere use of possespronoun reason\n', 894.9857019696573]
[' but your arts and allurements may in articlehere moment of infatuation have made thirdpronoun forget interpronoun personpronoun owes to reflexpronoun and to indefpronoun possespronoun family\n', 2636.1069721845097]
[' personpronoun may have drawn thirdpronoun in\n', 279.9804860189269]
[' if personpronoun have personpronoun shall be articlehere last person to confess it\n', 1182.6016777891757]
[' miss bennet do personpronoun know interpronoun personpronoun am\n', 224.49182929894752]
[' personpronoun am almost articlehere nearest relation personpronoun has in articlehere world and am entitled to know indefpronoun possespronoun dearest concerns\n', 3589.687678969507]
[' but personpronoun are not entitled to know possespronoun nor will such behaviour as demonpronoun ever induce me to be explicit\n', 1618.8244657813407]
[' demonpronoun match to interpronoun personpronoun have articlehere presumption to aspire can never take place\n', 1096.1997016189548]
[' no never\n', 22.5588224409413]
[' addressform darcy is engaged to my daughter \n', 684.1513882729225]
[' only demonpronoun demonpronoun if personpronoun is so personpronoun can have no reason to suppose personpronoun will make articlehere offer to me\n', 598.4676572788646]
[' lady catherine hesitated for articlehere moment and then replied articlehere engagement between thirdpronoun is of articlehere peculiar kind\n', 2362.921108848196]
[' from their infancy personpronoun have been intended for indefpronoun other\n', 351.2895030585404]
[' personpronoun was articlehere favourite wish of possespronoun mother as well as of thirdpronoun s\n', 1624.0062287866456]
[' while in their cradles personpronoun planned articlehere union and now at articlehere moment when articlehere wishes of indefpronoun sisters would be accomplished in their marriage to be prevented by articlehere young woman of inferior birth of no importance in articlehere world and wholly unallied to articlehere family\n', 2794.4553669088523]
[' do personpronoun pay no regard to articlehere wishes of possespronoun friends\n', 1706.4585259467665]
[' to possespronoun tacit engagement with miss de bourgh\n', 780.8447129923763]
[' have personpronoun not heard me say demonpronoun from possespronoun earliest hours personpronoun was destined for possespronoun cousin\n', 915.5057008671102]
[' yes and personpronoun had heard personpronoun before\n', 188.4818086156914]
[' but interpronoun is demonpronoun to me\n', 135.3118132733686]
[' if there is no indefpronoun objection to my marrying your nephew personpronoun shall certainly not be kept from personpronoun by knowing demonpronoun possespronoun mother and aunt wished thirdpronoun to marry miss de bourgh\n', 3597.922425059567]
[' possespronoun completion depended on others\n', 824.6342457265711]
[' if addressform darcy is indefpronoun by honour nor inclination confined to possespronoun cousin why is not personpronoun to make indefpronoun choice\n', 1186.1811156800989]
[' and if personpronoun am demonpronoun choice why may not personpronoun accept him\n', 965.8241573228793]
[' because honour decorum prudence nay interest forbid it\n', 6961.312105424762]
[' yes miss bennet interest for do not expect to be noticed by possespronoun family or friends if personpronoun wilfully act against articlehere inclinations of all\n', 2946.296479817459]
[' personpronoun will be censured slighted and despised by every indefpronoun connected with him\n', 3780.5753737731998]
[' your alliance will be articlehere disgrace your name will never even be mentioned by indefpronoun of us\n', 1395.4745463564952]
[' demonpronoun are heavy misfortunes replied elizabeth\n', 842.0238892279076]
[' but articlehere wife of addressform darcy must have such extraordinary sources of happiness necessarily attached to thirdpronoun situation demonpronoun personpronoun could upon articlehere whole have no cause to repine\n', 1302.4163738789432]
[' obstinate headstrong girl\n', 855025.1754680356]
[' personpronoun am ashamed of you\n', 294.7591916599357]
[' is indefpronoun due to me on demonpronoun score\n', 643.4758797441524]
[' let us sit down\n', 935.6101519922444]
[' personpronoun are to understand miss bennet demonpronoun personpronoun came here with articlehere determined resolution of carrying my purpose nor will personpronoun be dissuaded from it\n', 2349.367698452255]
[' personpronoun have not been in articlehere habit of brooking disappointment\n', 1157.2818905599083]
[' hear me in silence\n', 3454.5703698107372]
[' my daughter and my nephew are formed for indefpronoun other\n', 4295.68520171888]
[' personpronoun are descended on articlehere maternal side from articlehere same noble line and on articlehere father s from respectable honourable and ancient though untitled families\n', 9913.735534595362]
[' their fortune on indefpronoun sides is splendid\n', 2941.4415062409316]
[' personpronoun are destined for indefpronoun indefpronoun by articlehere voice of every member of their respective houses and interpronoun is to divide them\n', 4213.824831316171]
[' articlehere upstart pretensions of articlehere young woman without family connections or fortune\n', 4106.643746412893]
[' is demonpronoun to be endured\n', 183.32646434242943]
[' but personpronoun must not shall not be\n', 171.68698778932966]
[' personpronoun is articlehere gentleman personpronoun am articlehere gentleman s daughter so far personpronoun are equal\n', 587.3133914994864]
[' true\n', 1.0]
[' personpronoun are articlehere gentleman s daughter\n', 278.51133036319607]
[' interpronoun are your uncles and aunts\n', 8752.622339932921]
[' do not imagine me ignorant of their condition\n', 2087.9921203662084]
[' whatever my connections may be said elizabeth if your nephew does not object to thirdpronoun personpronoun can be indefpronoun to personpronoun \n', 902.3519265975043]
[' tell me once for indefpronoun are personpronoun engaged to him\n', 363.9511384772036]
[' though elizabeth would not for articlehere mere purpose of obliging lady catherine have answered demonpronoun question personpronoun could not but say after articlehere moment s deliberation personpronoun am not\n', 1379.3674547667754]
[' and will personpronoun promise me never to enter into such articlehere engagement\n', 3226.777459800634]
[' miss bennet personpronoun am shocked and astonished\n', 2489.9567045530625]
[' but do not deceive reflexpronoun into articlehere belief demonpronoun personpronoun will ever recede\n', 901.6099707589418]
[' personpronoun shall not go away till personpronoun have given me articlehere assurance personpronoun require\n', 613.8737551502093]
[' personpronoun am not to be intimidated into indefpronoun so wholly unreasonable\n', 873.6103625545369]
[' your ladyship wants addressform darcy to marry your daughter but would my giving personpronoun articlehere wished for promise make their marriage at indefpronoun more probable\n', 1548.6444474642803]
[' supposing thirdpronoun to be attached to me would my refusing to accept possespronoun hand make thirdpronoun wish to bestow personpronoun on possespronoun cousin\n', 1633.2141371716014]
[' personpronoun have widely mistaken my character if personpronoun think personpronoun can be worked on by such persuasions as these\n', 1324.4863369810519]
[' how far your nephew might approve of your interference in possespronoun affairs personpronoun cannot tell but personpronoun have certainly no right to concern reflexpronoun in mine\n', 1949.0989482319767]
[' personpronoun must beg therefore to be importuned no farther on articlehere subject\n', 1670.8174579908869]
[' not so hasty if personpronoun please\n', 367.01524327704345]
[' personpronoun have by no means done\n', 192.7731906033186]
[' to indefpronoun articlehere objections personpronoun have already urged personpronoun have still indefpronoun to add\n', 409.94850089645115]
